registry_id,primary_name,latitude83,longitude83,naics_code
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325611
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110000747318,MHBA CB LLLP,29.413774,-95.263726,325199
110071871268,CHOCOLATE BAYOU PLANT,29.231225,-95.196088,325110
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325110
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325199
110005026854,BROWNING-FERRIS INDUSTRIES INC,29.431788,-95.25691,325611
110000599406,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,29.250091,-95.216526,325211
110071871266,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.24912,-95.2142,325110
110070377148,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,29.284424,-95.261344,325320
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325199
110070633528,INEOS OLIGOMERS CHOCOLATE BAYOU,29.23432,-95.192842,325110
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT,29.413774,-95.263726,325110
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,324110
110070158531,ALLIED PETROCHEMICAL PLANT,29.318786,-95.254903,325613
110033713435,HALLIBURTON LOGGING,,,331315
110071956524,FRONTIER PRODUCTS INC,32.4257,-97.2152,325520
110002440261,CREATIVE PULTRUSIONS INC,40.18217,-78.61066,325211
110000566236,POOLE CHEMICAL ALTUS OK,34.631389,-99.306944,325314
110000332131,SYNTHEX ORGANICS LLC,40.483572,-78.421852,325199
110059936173,UPMC ALTOONA/7TH AVENUE CAMPUS FORMER BON SECOURS,40.50084,-78.40787,325320
110004835572,VALLEY WELDING SUPPLY CO,40.512334,-78.391147,32512
110001021929,MONARCH DRY CLNR/ALTOONA,40.50341,-78.38561,325312
110000332131,SYNTHEX ORGANICS LLC,40.483572,-78.421852,325998
110059921143,C S K ENT INC PURITAN CLEANERS,40.47238,-78.400341,325314
110001092825,BELLMEADE DRY CLNR,40.56228,-78.33985,325311
