AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
SQL,0.016475784301765353,37.51194444,-122.24944444,0.4934346900798248
SRR,0.04254207586745977,33.462799,-105.535004,1.274096312292895
STK,4.045425808137772e-05,40.61416667,-103.26416667,0.001211568076710923
STS,34.70622947592066,38.50972222,-122.81305556,1039.4198704977734
SUN,561.883027098378,43.50388889,-114.29555556,16827.883411152383
SUO,0.0015973293750858306,43.87638889,-121.45305556,0.04783855570787154
SUU,0.05138226615310374,38.26444444,-121.92416667,1.5388519363014
SVC,3.1078637168995873,32.63666667,-108.15638889,93.07767945191937
SZP,9.333581805606312e-07,34.34694444,-119.06166667,2.7953224934430404e-05
SZT,0.00509819816837765,48.299499511719,-116.55999755859,0.15268637820837525
TAD,1.41836284215074e-05,37.25972222,-104.33916667,0.0004247867152293321
TCM,0.0005688319949493023,47.13777778,-122.47638889,0.017035998650772755
TCY,1.9396304279212012e-06,37.68899917602539,-121.44200134277344,5.80901595663732e-05
TEX,0.00649696168298971,37.95388889,-107.90888889,0.1945780677744747
TIW,0.0005417156534475746,47.26805556,-122.57805556,0.0162238889921406
TMK,7.430258844527736e-05,45.4182014465,-123.814002991,0.0022252946524491573
TNP,5.961961189469798e-06,34.13166667,-115.94583333,0.00017855529168822395
TNX,0.00034056798243025326,37.7988014221,-116.78099823,0.010199699982936607
TOA,2.4722099584184447e-07,33.80333333,-118.33972222,7.404043002151676e-06
TOR,0.9552144138247357,42.06444444,-104.15277778,28.607799156176572
TPH,5.878330860729275e-06,38.05972222,-117.08666667,0.00017605063973432988
TRK,4.662035629470665e-05,39.318628,-120.140562,0.0013962370857953472
TRM,0.001386889952883759,33.61805556,-116.15638889,0.04153608723820782
TSP,6.29979683902148e-07,35.135,-118.43916667,1.88673160797289e-05
TTD,0.00020136581547391643,45.54944444,-122.40138889,0.006030722236415586
TUS,3134.309717462402,32.125,-110.94972222,93869.71301175209
TVL,5.7178515298161905e-06,38.89388889,-119.99527778,0.00017124443036286883
TWF,15.403489295876374,42.48083333,-114.48555556,461.3204341382562
U42,0.0033747511680229094,40.61944444,-111.9927778,0.10107071482548395
UAO,0.0028278359796575178,45.247100830078125,-122.7699966430664,0.08469110451205504
UDD,2.8838322806938058e-05,33.74833333,-116.27472222,0.0008636814257843085
UKI,0.0002874873301040927,39.12583333,-123.20083333,0.008609982932138147
VBG,2.0663808393452456e-08,34.73722222,-120.58444444,6.188621860872254e-07
VCV,0.0006233059473759867,34.58388889,-117.38638889,0.01866744376687591
VEL,0.07783714058838023,40.43611111,-109.51138889,2.3311512605085425
VGT,0.0005543676035380441,36.21055556,-115.19416667,0.016602803340462536
VIS,0.007960366832242577,36.31861111,-119.39277778,0.23840571525135001
VNY,2.442234946369339,34.20972222,-118.49,73.14270579123506
VUO,1.4433540441424055e-06,45.62055556,-122.65638889,4.322713519444162e-05
WHP,0.0,34.25944444,-118.41333333,0.0
WJF,2.050871818308928e-07,34.74111111,-118.21861111,6.1421737595355735e-06
WLW,2.9984847497748793e-07,39.51583333,-122.21722222,8.980187929843903e-06
WMC,0.0,40.89666667,-117.80583333,0.0
WRL,0.0,43.96277778,-107.95055556,0.0
WVI,1.5037929513772611e-06,36.93583333,-121.78972222,4.503722525837859e-05
WYS,4.136417873019456,44.68833333,-111.11777778,123.88193689785732
YKM,3624.2787624549796,46.56805556,-120.54416667,108543.83834845702
YUM,1.2347513303034605,32.65666667,-114.60611111,36.979674462517536
